'text','place_name'
'Back in america :) feels nice. ','LA'
'America, land of the free wi-fi, refills, and dipping sauces.  ','LA'
'At audition with a bunch of half naked women. Life is good. ','LA'
'RT @museweb & @mlaffs: When Churchill was asked to cut arts funding in support of the war effort, he asked then what are we fighting for? ','NY'
'Have questions for Counter Space: Design & the Modern Kitchens curator? Send & Ill ask during todays livestream: http://j.mp/fKhAES ','NY'
'Were about to stream a live walk through of our exhibition Counter Space. Send us questions & watch it here: http://bit.ly/igurED ','NY'
'Were live! http://bit.ly/igurED #counterspace ','NY'
'@greendoorstudio thanks! let us know what you think! ','NY'
'@tutto_bene awesome! let us know if you have any questions. ','NY'
'@sodascone just brought up your point! thanks! ','NY'
'@homebrewer Hey, it was a JVC HD camera with a long cable to a laptop connected to our wifi, with some assist from Livestream ','NY'
'@VIV_G This was our first of an exhibition. Weve done 1 or 2 others of live events. Hopefully will be doing a lot more soon. ','NY'
'@sodascone Thanks very much!! ','NY'
'@doccyD Yes, it is actually already archived here: http://bit.ly/igurED ','NY'
'@homebrewer Correction! We did not use a laptop, but used a computer that was hardwired to the internet. ','NY'
'@analaurabaz We thought we had it live, but it might have been a network issue. Were trying to fix it for the future. ','NY'
'. @TylerGreenDCs 3rd of May includes a work from our collection by David Alfaro Siqueiros in response to #Libya: http://bit.ly/hgIEOL ','NY'
'Congrats to ex-MoMA intern @juliaxgulia for being named one of @fastcompanys Most Influential Women in Technology! You rock Julia! ','NY'
'RT @INTERMIX: Win two tickets to @museummodernart preview party for @thearmory show!  http://on.fb.me/fu53NW ','NY'
'Curatorial assistant Stephanie Weber shares some thoughts on Kraftwerk, Sprockets, and Looking at Music 3.0. http://bit.ly/dL8BrD ','NY'
'@missymiss1515 Looking at Music is open all day & every day that were open thru June 6. Were open until 8 pm tonight. http://j.mp/emaKi6 ','NY'
'If youre in NYC & hungry Saturday night btwn 5-8 pm, & want to vote on projects to be funded, then check out FEAST: http://j.mp/eYjEae ','NY'
'The Empire Tweets Back! WNYCs @cmonstah blogs about tweeting Warhols 8-hour film Empire - http://bit.ly/h9RNeo ','NY'
