'text','place_name','place_full_name','place_country','screen_name'
'U got listen to @djblord bike week cd breakin out that latest hot music @SMESMusicGroup ','South Carolina','South Carolina, US','United States',''
'Why do ppl come to school, if their not coming to learn??? Just wondering.. ','Chicago Public Schools (Hyde Park Career Academy)','Chicago Public Schools (Hyde Park Career Academy),','United States','062_CobWayne'
'A vida as vezes parece ruim, foi por isso que inventaram a musica (Hayley Williams) ','Caxias do Sul','Caxias do Sul, Rio Grande do Sul','Brasil','1adolescente_'
'SportAccord welcome desk at Heathrow. Fast and efficient. Thank you! #SACon http://t.co/6Dify1i ','Munich','Munich, Munich','Germany','2018PyeongChang'
'Im at Axa Hauptverwaltung (Colonia Alle 10 -20, Kln) http://4sq.com/dWL0TG ','Cologne','Cologne, Cologne','Germany','24z'
'Ugh. Thinking of folks in Japan. ','Castro','Castro, San Francisco','United States','3030vision'
'Agreed RT@liberal_party @M_Ignatieff especially when the politics of fear is imported from hard right Republican politics #elxn41 #cdnpoli ','Ottawa','Ottawa, Ontario','Canada','3mendous'
'Sunny coffee :) @ Au Petit Canon http://gowal.la/p/eaix #photo ','Paris','Paris, Paris','France','4_5_H'
'Spring cleaning? 1500 square feet of carpet cleaning only $99. http://702carpetcleaning.com/ ','Las Vegas','Las Vegas, NV','United States','702cleanfloors'
'www.96fmbauru.com.br ','Bauru','Bauru, Sxe3o Paulo','Brasil','96fmbauru'
'tes tes ','Jakarta Capital Region','Jakarta Capital Region, Indonesia','Indonesia','AANUGRAHARYA'
'http://twitpic.com/4rnori - Siiiiiiiimmmm semana q vem rolar sorteio de dia das mes! Eba! ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','acasabrigaderia'
'@NateLanxon agreed. Sometimes you just want to mute for awhile too, not just permanently unfollow. ','San Rafael','San Rafael, CA','United States','acedtect'
'Pray like it all depends upon God; live live like it all depends upon you. (@CampusCoach) #statewide ','New Albany','New Albany, MS','United States','adamlgordon'
'No ofenda o Pai dizendo que est s,pois voc no est.Pode o mundo te isolar,mas Deus sempre estar coladinho contigo, segurando sua mo ','Praia Grande','Praia Grande, Sxe3o Paulo','Brasil','AdoreaoRei'
'2nd tweet...:D ','Bandar Kuala Lumpur','Bandar Kuala Lumpur, Kuala Lumpur','Malaysia','Affan_Ardi'
'Im at Botani Square (Jalan Raya Pajajaran No. 69-71, Bogor) w/ 13 others http://4sq.com/kBFizo ','Bogor Selatan','Bogor Selatan, Kota Bogor','Indonesia','afgantengg'
'@K_rieKa emang udah ga kenal, dh ga mau nyapa lagi and I think it is enough for me to let him dissapear from my life.. :) ','Kota Yogyakarta','Kota Yogyakarta, Yogyakarta','Indonesia','AgusSetia'
'My chick badddd ;) ','Violet','Violet, OH','United States','AkaGodwin'
'hahaha RT @Indahptanjung: Iya aja dahRT @akhmadfatchan: chaiyaaaa RT @Indahptanjung: cai yayayRT @inayahdefi: Cal chaiyya ','Jakarta Capital Region','Jakarta Capital Region, Indonesia','Indonesia','akhmadfatchan'
'Derby manchester jam brp sih? Klo msh lama mending tidur..hoaaaaaaam (@ aldoyokie Room) http://4sq.com/hqhoY4 ','Kotabumi','Kotabumi, Lampung Utara','Indonesia','aldoyokie'
'@Rayzajullia seguindo vc !!!!!! ','Sxe3o Paulo','Sxe3o Paulo, Sxe3o Paulo','Brasil','Alexandre_Think'
'Great crowd at Pitch Perfect startup event!  @ Miami City Hall http://instagr.am/p/DjfvX/ ','Miami','Miami, FL','United States','alexdc'
